epoch,used,available
1603383235.8471372,39.1,60.85122679208473
1603383236.8474612,39.1,60.866870561917516
1603383237.8477852,39.1,60.87373564133955
1603383238.8471115,39.1,60.87698878002037
1603383239.8474627,39.1,60.852972962111934
1603383240.8477588,39.2,60.77736140792015
1603383241.8470848,39.5,60.457214289507334
1603383242.8474085,39.5,60.51675151139388
1603383243.8477333,39.5,60.516416629470854
1603383244.8470592,39.5,60.522372743673245
1603383245.847383,39.5,60.53698794759959
1603383246.8477077,39.4,60.55380380416297
1603383247.8470352,39.4,60.56389810212846
1603383248.8473577,39.4,60.564017702815256
1603383249.847683,39.4,60.63431898651335
1603383250.84701,39.4,60.577412979736295
1603383251.847334,39.4,60.57528408751134
1603383252.8476572,39.4,60.584589020943994
1603383253.8469844,39.4,60.59047337473431
1603383254.8473077,39.3,60.67397857425456
